,id,host_is_superhost,host_response_rate,host_response_time,host_listings_count,host_identity_verified,accommodates,neighbourhood_group_cleansed,property_type,room_type,latitude,longitude,guests_included,bathrooms,bedrooms,beds,bed_type,amenities,cleaning_fee,minimum_nights,maximum_nights,instant_bookable,cancellation_policy,price
8166,31043835,t,1,within an hour,11,f,6,Downtown,Apartment,Entire home/apt,47.61150233,-122.3486834,1,2,2,3,Real Bed,"{TV,Wifi,Kitchen,Gym,Elevator,""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Private entrance""}",100,1,1125,t,strict_14_with_grace_period,199
6009,23377681,f,1,within an hour,3,f,4,Downtown,Apartment,Entire home/apt,47.60507544,-122.3336461,2,1,1,2,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Gym,Elevator,Heating,Washer,Dryer,""Smoke detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven}",60,1,1125,t,strict_14_with_grace_period,188
5994,23309878,t,1,within an hour,2,t,2,Downtown,Apartment,Entire home/apt,47.61236437,-122.3494246,1,1,1,1,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Gym,Elevator,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Long term stays allowed"",Waterfront}",75,1,30,f,strict_14_with_grace_period,145
2110,10768347,f,1,within an hour,1,f,2,Other neighborhoods,House,Private room,47.68726365,-122.3134439,1,1,1,1,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets live on this property"",Dog(s),Cat(s),Heating,Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Lake access""}",0,1,3,f,flexible,55
4098,18497873,f,1,within a few hours,2,f,2,Queen Anne,Apartment,Entire home/apt,47.64659952,-122.372863,2,1,1,1,Real Bed,"{Wifi,Kitchen,""Free parking on premises"",Heating,""Smoke detector"",""Carbon monoxide detector"",""Safety card"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",50,2,90,f,moderate,150
2191,11212116,f,0.99,within an hour,521,f,3,Downtown,Apartment,Entire home/apt,47.6102296,-122.3289607,2,1,1,1,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Gym,Elevator,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Smart lock"",Keypad,""Building staff"",""Private living room""}",89,2,1125,t,strict,189
5682,22355702,t,1,within an hour,1,t,2,Other neighborhoods,Guest suite,Entire home/apt,47.67342993,-122.3271391,2,1,0,1,Real Bed,"{TV,Wifi,Kitchen,""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,""Dishes and silverware"",Kitchenette}",25,2,31,t,moderate,125
2893,13814892,f,1,within a few hours,3,t,2,Other neighborhoods,Townhouse,Private room,47.65278356,-122.3568178,1,1,1,1,Real Bed,"{TV,Wifi,Kitchen,""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",35,2,20,f,moderate,74
1969,9805136,f,1,within an hour,7,f,6,Queen Anne,Townhouse,Entire home/apt,47.63953321,-122.3423924,6,1,2,3,Real Bed,"{TV,""Cable TV"",Wifi,Kitchen,""Pets allowed"",""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",""Outlet covers"",Bathtub,""Fireplace guards"",Crib,""Room-darkening shades"",""Game console"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Well-lit path to entrance"",""Step-free access"",""Step-free access"",""Handheld shower head""}",77,1,28,f,strict_14_with_grace_period,1000
6746,25708773,t,1,within an hour,5,f,2,Downtown,Apartment,Entire home/apt,47.60740813,-122.3292027,2,1,0,1,Real Bed,"{TV,Internet,Wifi,Pool,Kitchen,Elevator,""Hot tub"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",Essentials,Hangers,Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Cleaning before checkout""}",85,1,1125,t,moderate,140
1504,7638078,t,1,within an hour,2,t,4,Northgate,House,Entire home/apt,47.69913031,-122.3163815,1,1,1,1,Real Bed,"{TV,Wifi,Kitchen,""Free parking on premises"",""Free street parking"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",Other}",30,2,1125,f,flexible,125
999,5213468,f,0.99,within an hour,521,f,3,Downtown,Apartment,Entire home/apt,47.61126159,-122.3416241,2,1,1,1,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Elevator,Heating,""Family/kid friendly"",Washer,Dryer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Smart lock""}",89,2,1125,t,strict,300
4498,19786008,f,0.99,within an hour,81,f,6,Downtown,Condominium,Entire home/apt,47.61392099,-122.3485542,6,1,2,3,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Pool,Kitchen,""Free parking on premises"",Gym,Elevator,""Hot tub"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",135,1,365,t,super_strict_30,166
7748,29280801,t,1,within an hour,10,f,2,Capitol Hill,Apartment,Entire home/apt,47.62938988,-122.322001,2,1,1,1,Real Bed,"{Wifi,Kitchen,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance""}",75,2,1125,f,strict_14_with_grace_period,80
136,430609,t,1,within an hour,7,t,8,Other neighborhoods,House,Entire home/apt,47.65883131,-122.3479665,1,2.5,3,4,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",""Pack ’n Play/travel crib"",""Hot water"",""Bed linens"",""Extra pillows and blankets""}",99,2,1124,f,moderate,225
7049,26811391,f,1,within an hour,123,f,2,Cascade,Apartment,Entire home/apt,47.62390194,-122.3308613,1,1,0,1,Real Bed,"{TV,Wifi,Kitchen,Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",50,1,21,t,strict_14_with_grace_period,90
603,3121829,t,1,within a few hours,1,f,4,Ballard,Townhouse,Entire home/apt,47.6719218,-122.3806568,1,2.5,2,2,Real Bed,"{TV,Internet,Wifi,Kitchen,Gym,""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Outlet covers"",Bathtub,""Children’s books and toys"",""Children’s dinnerware""}",100,2,1123,f,strict_14_with_grace_period,100
635,3312406,t,1,within an hour,1,t,4,Other neighborhoods,Guest suite,Entire home/apt,47.6600561,-122.3576827,4,1,0,0,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad,""Private entrance"",Bathtub,""Children’s books and toys"",""Pack ’n Play/travel crib"",""Hot water"",""Long term stays allowed"",""Full kitchen""}",65,3,180,t,moderate,119
5970,23188721,f,1,within an hour,35,f,6,Capitol Hill,Serviced apartment,Entire home/apt,47.62872213,-122.3177028,3,1,3,3,Real Bed,"{TV,Wifi,Kitchen,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""EV charger""}",85,2,12,t,strict_14_with_grace_period,200
839,4288801,t,1,within an hour,2,t,2,Other neighborhoods,House,Private room,47.67992235,-122.3103085,1,1,1,1,Real Bed,"{Wifi,Kitchen,""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Fire extinguisher"",Essentials,Hangers,Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Lockbox,""Hot water"",""Long term stays allowed""}",20,2,1125,f,moderate,55
7870,29777784,f,1,within an hour,1,t,12,Rainier Valley,House,Entire home/apt,47.53795404,-122.2721244,8,2.5,4,4,Real Bed,"{TV,Wifi,Kitchen,""Free parking on premises"",""Pets allowed"",Gym,""Free street parking"",""Indoor fireplace"",Heating,""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Cleaning before checkout"",""Wide hallway clearance"",""Wide doorway"",""Wide clearance to bed"",""Wide entryway""}",150,2,1125,t,moderate,175
5126,21332206,f,0.98,within an hour,20,f,6,Ballard,House,Entire home/apt,47.67199234,-122.3633551,1,2.5,3,3,Real Bed,"{TV,""Cable TV"",Wifi,Kitchen,""Free street parking"",Heating,Washer,Dryer,Essentials,Shampoo,""Lock on bedroom door"",""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance"",""High chair"",""Pack ’n Play/travel crib"",""Game console"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony""}",186,2,28,t,strict_14_with_grace_period,341
7479,28368849,t,1,within an hour,2,f,10,Delridge,House,Entire home/apt,47.53988765,-122.3529983,8,2,5,5,Real Bed,"{TV,Wifi,Kitchen,""Free parking on premises"",""Free street parking"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,""Long term stays allowed""}",149,1,1125,f,flexible,199
4445,19657648,t,1,within a few hours,1,t,2,Other neighborhoods,Guesthouse,Entire home/apt,47.68465477,-122.3533136,2,1,1,1,Real Bed,"{Wifi,""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Garden or backyard""}",25,1,14,f,moderate,91
4892,20805317,f,1,within an hour,2,f,2,Other neighborhoods,Townhouse,Private room,47.65433017,-122.3525503,2,1.5,1,1,Real Bed,"{TV,Wifi,Kitchen,""Free street parking"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,Hangers,Iron,""Laptop friendly workspace"",""Self check-in"",Keypad}",25,2,1125,f,moderate,60
4073,18450572,f,1,within an hour,2,t,2,Other neighborhoods,Bungalow,Private room,47.71672546,-122.3609321,1,1,1,1,Real Bed,"{TV,Wifi,Kitchen,""Free parking on premises"",""Pets live on this property"",""Free street parking"",Heating,""Family/kid friendly"",""Suitable for events"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Smart lock"",""Private entrance"",""Hot water""}",20,2,30,t,moderate,50
4443,19656364,f,1,within an hour,2,t,2,Central Area,Townhouse,Private room,47.59156807,-122.2953539,1,1,1,1,Real Bed,"{Wifi,Kitchen,Breakfast,""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Hot water"",""Luggage dropoff allowed""}",100,1,1125,t,flexible,54
4640,20139362,f,0.86,within an hour,9,t,2,Cascade,Apartment,Entire home/apt,47.63610354,-122.32505,1,1,1,1,Real Bed,"{TV,Wifi,Kitchen,""Indoor fireplace"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",45,1,29,t,flexible,130
1601,7952930,f,1,within a few hours,1,f,4,Northgate,House,Entire home/apt,47.70388275,-122.315893,1,1,2,2,Real Bed,"{TV,Internet,Wifi,Kitchen,""Free parking on premises"",""Pets allowed"",""Free street parking"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""High chair"",""Children’s books and toys"",""Pack ’n Play/travel crib"",Other}",20,2,15,t,flexible,80
2690,13334770,t,1,within an hour,3,t,4,West Seattle,House,Entire home/apt,47.56895262,-122.3867008,1,1,1,2,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Self check-in"",Keypad}",65,1,1125,f,moderate,109
6060,23593403,t,1,within an hour,2,f,2,University District,House,Private room,47.66954733,-122.310569,1,1,1,1,Real Bed,"{Wifi,Kitchen,""Free parking on premises"",""Pets live on this property"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Iron}",0,2,1125,t,flexible,45
6182,23906857,f,1,within an hour,2,t,5,Lake City,House,Private room,47.70874355,-122.2798159,2,1.5,1,3,Real Bed,"{Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",""Hair dryer"",""Laptop friendly workspace"",""Private entrance"",""Hot water"",""Host greets you""}",15,1,93,t,moderate,50
1407,7257457,t,1,within an hour,1,t,4,West Seattle,Guest suite,Entire home/apt,47.58940783,-122.3835085,4,1,2,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",Bathtub,""Room-darkening shades"",""Hot water"",""Host greets you""}",110,2,90,f,strict_14_with_grace_period,195
4776,20505441,t,1,within an hour,9,t,3,Other neighborhoods,Guest suite,Entire home/apt,47.68820423,-122.3391576,1,1,1,1,Real Bed,"{TV,Wifi,Kitchen,""Free parking on premises"",Breakfast,""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",""Single level home"",Other}",30,1,5,t,moderate,0
7867,29776305,f,1,within an hour,123,f,1,Capitol Hill,House,Shared room,47.64328707,-122.3041449,1,1,1,1,Real Bed,"{Wifi,Kitchen,Heating,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",15,1,21,t,strict_14_with_grace_period,25
5931,23042701,t,1,within an hour,3,t,2,Central Area,House,Private room,47.61709558,-122.2947012,1,1,1,1,Real Bed,"{TV,Wifi,Kitchen,""Free street parking"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed""}",20,1,1125,f,strict_14_with_grace_period,50
5753,22530470,t,1,within an hour,1,f,2,Other neighborhoods,Apartment,Entire home/apt,47.73278626,-122.3523034,2,1,1,1,Real Bed,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets live on this property"",Dog(s),""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",Bathtub,""Window guards"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""EV charger"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed""}",25,2,14,t,moderate,65
3129,14731309,f,1,within an hour,1,t,4,Ballard,Apartment,Entire home/apt,47.67327415,-122.3789756,1,1,1,2,Real Bed,"{TV,Wifi,Kitchen,Breakfast,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad,Bathtub,""High chair"",""Children’s books and toys"",""Pack ’n Play/travel crib"",""Game console""}",50,2,1125,f,moderate,120
1853,9167786,t,1,within an hour,3,t,2,Queen Anne,House,Private room,47.64235821,-122.3740468,1,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Self check-in"",Lockbox}",0,1,1125,f,moderate,59
