"id","host_response_time","host_response_rate","host_is_superhost","host_identity_verified","host_listings_count","neighbourhood_group_cleansed","room_type","guests_included","accommodates","bathrooms","bedrooms","beds","bed_type","price","cleaning_fee","minimum_nights","instant_bookable","cancellation_policy","review_scores_rating","num_amenities","total_nearby_landmarks"
12084472,"within an hour",1,"f","f",5,"Delridge","Entire home/apt",2,4,2,2,2,"Real Bed",90,150,29,"f","strict_14_with_grace_period",1,24,0
752483,"within an hour",1,"t","t",1,"Capitol Hill","Entire home/apt",4,4,2,2,2,"Real Bed",225,125,1,"f","moderate",1,40,0
26605642,"within an hour",0.98,"f","f",61,"Other neighborhoods","Entire home/apt",2,8,1,3,5,"Real Bed",375,225,1,"f","strict_14_with_grace_period",0,37,0
13033006,"within an hour",1,"f","t",15,"Northgate","Private room",1,2,1,1,1,"Real Bed",85,0,1,"t","moderate",1,20,0
20678766,"within an hour",0.99,"f","f",152,"Downtown","Entire home/apt",1,2,1,0,1,"Real Bed",175,75,5,"f","strict_14_with_grace_period",0,16,3
8150145,"within an hour",1,"f","f",1,"Queen Anne","Entire home/apt",6,6,3,3,3,"Real Bed",307,323,3,"t","super_strict_30",1,22,3
23200594,"within a few hours",1,"t","f",11,"Downtown","Entire home/apt",1,6,2,2,3,"Real Bed",499,105,2,"t","strict_14_with_grace_period",1,62,3
13263999,"within an hour",1,"t","f",3,"Central Area","Entire home/apt",4,7,2.5,3,4,"Real Bed",190,140,3,"t","strict_14_with_grace_period",1,22,0
13033049,"within an hour",1,"t","t",1,"Other neighborhoods","Private room",2,2,1,1,1,"Real Bed",85,35,2,"f","moderate",1,41,0
22767549,"within an hour",1,"t","f",131,"Cascade","Entire home/apt",1,2,1,1,1,"Real Bed",100,75,2,"t","flexible",1,42,2
21782049,"within a day",1,"f","f",1,"Northgate","Entire home/apt",1,2,1,1,1,"Real Bed",105,30,1,"f","moderate",1,27,0
3158243,"within an hour",0.92,"f","t",51,"University District","Entire home/apt",1,4,1,1,2,"Real Bed",95,70,1,"t","strict_14_with_grace_period",0,42,0
21914283,"within an hour",0.99,"f","f",152,"Downtown","Entire home/apt",1,5,2,2,2,"Real Bed",250,200,4,"t","strict_14_with_grace_period",1,18,3
17593587,"within a few hours",1,"f","t",2,"Lake City","Entire home/apt",1,2,1,0,1,"Real Bed",39,40,2,"f","moderate",1,14,0
31682531,"within an hour",0.98,"f","f",21,"Downtown","Entire home/apt",2,4,1,0,3,"Real Bed",99,60,1,"t","strict_14_with_grace_period",1,26,5
23377681,"within an hour",1,"f","f",3,"Downtown","Entire home/apt",2,4,1,1,2,"Real Bed",188,60,1,"t","strict_14_with_grace_period",1,22,3
9034515,"within an hour",1,"t","t",1,"Other neighborhoods","Entire home/apt",1,2,1,0,1,"Real Bed",100,50,2,"f","strict_14_with_grace_period",1,45,0
2933877,"within an hour",1,"t","t",9,"Downtown","Entire home/apt",1,2,1,0,1,"Real Bed",115,135,30,"t","moderate",1,24,3
17803128,"within an hour",1,"f","f",1,"Lake City","Entire home/apt",2,2,1,1,1,"Real Bed",60,40,1,"t","moderate",1,35,0
2612399,"within an hour",1,"t","t",2,"Central Area","Entire home/apt",1,2,1,0,1,"Real Bed",76,0,3,"f","flexible",1,22,0
5580773,"within an hour",1,"f","f",1,"Beacon Hill","Entire home/apt",1,2,1,1,1,"Real Bed",54,30,2,"f","moderate",0,20,0
9386699,"within an hour",1,"t","t",1,"Other neighborhoods","Entire home/apt",2,4,1,2,2,"Real Bed",120,0,2,"f","flexible",1,24,0
27233427,"within an hour",1,"t","f",1,"Central Area","Private room",1,2,1,1,1,"Real Bed",65,50,2,"t","strict_14_with_grace_period",1,27,0
28699203,"within an hour",1,"f","f",1,"Ballard","Entire home/apt",6,6,2,2,3,"Real Bed",110,100,2,"t","flexible",1,33,0
28303515,"within an hour",1,"f","f",2,"Ballard","Entire home/apt",2,4,1,2,2,"Real Bed",110,40,1,"t","moderate",0,35,0
23505352,"within an hour",1,"f","t",1,"Seward Park","Entire home/apt",2,4,1,2,2,"Real Bed",80,40,3,"f","flexible",1,24,0
23312764,"within an hour",1,"t","f",4,"Other neighborhoods","Private room",1,1,3,1,1,"Real Bed",33,22,2,"f","flexible",1,31,0
13332139,"within an hour",1,"f","f",18,"Central Area","Entire home/apt",1,6,2,3,4,"Real Bed",300,190,3,"t","strict_14_with_grace_period",1,39,0
21980128,"within an hour",1,"t","t",3,"Ballard","Entire home/apt",6,7,4,3,3,"Real Bed",240,120,3,"f","strict_14_with_grace_period",1,28,0
31352608,"within a few hours",0.97,"f","f",1,"Ballard","Entire home/apt",1,9,2,3,5,"Real Bed",154,100,1,"f","flexible",1,29,0
29040124,"within an hour",1,"f","f",1,"Delridge","Entire home/apt",1,2,1,1,1,"Real Bed",75,40,2,"t","moderate",1,15,0
31151004,"within an hour",1,"f","f",1,"University District","Entire home/apt",1,2,1,0,1,"Real Bed",51,6,1,"t","flexible",1,35,0
26254610,"within a few hours",1,"f","f",1,"Other neighborhoods","Private room",1,2,1.5,1,1,"Real Bed",61,10,1,"f","flexible",1,20,0
30745210,"within an hour",1,"f","t",1,"Other neighborhoods","Private room",1,2,1,1,1,"Real Bed",70,25,1,"t","flexible",1,36,0
15206062,"within a day",1,"f","t",3,"Ballard","Private room",1,2,1,1,1,"Real Bed",60,15,2,"f","flexible",1,21,0
3959460,"within a few hours",0.9,"t","t",1,"Other neighborhoods","Entire home/apt",2,4,1,1,2,"Real Bed",130,0,3,"f","moderate",1,40,0
24755619,"within an hour",1,"t","f",17,"Downtown","Entire home/apt",2,4,1,1,2,"Real Bed",120,62,1,"t","moderate",1,57,5
23881678,"within a few hours",1,"t","t",3,"Other neighborhoods","Private room",1,2,1,1,2,"Real Bed",89,20,2,"t","strict_14_with_grace_period",1,17,0
22146017,"within an hour",0.99,"f","f",521,"Downtown","Entire home/apt",4,5,2,2,2,"Real Bed",279,129,2,"t","strict",0,24,5
13096966,"within an hour",1,"f","f",1,"Ballard","Private room",1,2,1,1,1,"Real Bed",49,20,2,"t","moderate",1,22,0
20269051,"within an hour",1,"f","f",9,"Downtown","Entire home/apt",2,4,1,1,2,"Real Bed",110,50,3,"t","strict_14_with_grace_period",1,27,5
29793718,"within an hour",0.99,"f","t",9,"Central Area","Entire home/apt",1,2,1,0,1,"Real Bed",54,0,1,"t","moderate",0,41,0
28609954,"within a few hours",1,"f","f",2,"Other neighborhoods","Entire home/apt",2,4,1,2,2,"Real Bed",75,75,2,"f","moderate",1,27,0
7342445,"within an hour",1,"t","t",1,"Rainier Valley","Entire home/apt",1,5,1,2,3,"Real Bed",126,115,2,"t","strict_14_with_grace_period",1,48,0
24142258,"within an hour",1,"f","f",35,"Capitol Hill","Entire home/apt",1,2,1,0,1,"Real Bed",200,50,2,"t","strict_14_with_grace_period",0,22,1
26108348,"within an hour",1,"t","f",11,"Downtown","Entire home/apt",4,4,1,0,2,"Real Bed",182,75,2,"t","flexible",1,38,5
23936067,"within an hour",0.99,"f","f",521,"Downtown","Entire home/apt",6,7,2,2,3,"Real Bed",420,129,3,"t","strict",0,23,4
1827586,"within a few hours",1,"f","t",1,"Seward Park","Entire home/apt",8,8,2,3,3,"Real Bed",375,125,2,"f","strict_14_with_grace_period",1,56,0
18979781,"within an hour",1,"t","f",1,"Downtown","Entire home/apt",3,3,1,1,1,"Real Bed",145,135,2,"t","flexible",1,41,4
9574602,"within an hour",1,"t","t",42,"Downtown","Entire home/apt",1,6,2,2,2,"Real Bed",239,130,7,"f","strict_14_with_grace_period",1,58,4
30015086,"within an hour",0.83,"f","t",1,"Queen Anne","Private room",1,2,1,1,1,"Real Bed",65,0,2,"f","moderate",1,17,0
22209021,"within an hour",0.99,"f","f",521,"Downtown","Entire home/apt",4,5,2,2,2,"Real Bed",350,129,2,"t","strict",1,24,5
13157632,"within an hour",0.92,"f","t",51,"University District","Entire home/apt",1,2,1,0,1,"Real Bed",88,65,1,"t","moderate",0,23,0
18460936,"within an hour",0.99,"f","f",521,"Downtown","Entire home/apt",2,3,1,1,1,"Real Bed",229,89,2,"t","strict",1,28,4
4521755,"within an hour",1,"t","f",5,"Other neighborhoods","Entire home/apt",1,4,1,1,2,"Real Bed",101,75,3,"t","moderate",1,51,0
25098816,"within an hour",1,"t","t",1,"Ballard","Entire home/apt",1,4,1,1,3,"Real Bed",98,50,2,"f","flexible",1,39,0
19912859,"within a few hours",1,"t","f",1,"Other neighborhoods","Entire home/apt",2,2,1,0,1,"Real Bed",110,15,1,"f","flexible",1,26,0
6079581,"within an hour",1,"f","f",1,"West Seattle","Entire home/apt",6,7,2.5,3,5,"Real Bed",185,200,4,"f","moderate",1,51,0
11478387,"within an hour",1,"f","t",2,"Other neighborhoods","Private room",1,2,1,1,1,"Real Bed",75,20,3,"f","moderate",1,24,0
19786056,"within an hour",0.99,"f","f",81,"West Seattle","Entire home/apt",3,3,1,1,2,"Real Bed",102,90,1,"t","super_strict_30",1,19,0
14369251,"within an hour",1,"f","f",3,"Northgate","Private room",1,1,1,1,1,"Real Bed",50,20,3,"t","strict_14_with_grace_period",0,13,0
24201237,"within an hour",1,"t","t",4,"Other neighborhoods","Private room",1,2,1,1,1,"Real Bed",48,0,2,"t","flexible",1,21,0
4046863,"within an hour",1,"t","t",5,"Other neighborhoods","Private room",1,3,2,1,1,"Real Bed",72,25,1,"t","moderate",1,36,0
24119567,"within an hour",0.99,"f","f",152,"Downtown","Entire home/apt",1,2,1,0,1,"Real Bed",155,75,5,"f","strict_14_with_grace_period",1,16,3
3412630,"within an hour",1,"f","f",3,"Capitol Hill","Entire home/apt",4,4,1.5,2,2,"Real Bed",195,120,3,"t","strict_14_with_grace_period",1,21,0
5834820,"within an hour",1,"t","t",1,"Seward Park","Private room",1,2,1,1,2,"Real Bed",55,20,2,"f","moderate",1,18,0
25370923,"within an hour",1,"t","t",1,"Ballard","Private room",1,2,1,1,1,"Real Bed",54,27,1,"t","moderate",1,12,0
30109573,"within an hour",1,"t","t",3,"Other neighborhoods","Entire home/apt",1,4,1,2,2,"Real Bed",150,125,2,"f","strict_14_with_grace_period",0,30,0
28639613,"within an hour",1,"f","f",1,"Central Area","Entire home/apt",1,2,1,1,1,"Real Bed",115,0,1,"t","flexible",1,20,0
27310651,"within an hour",1,"f","f",123,"Capitol Hill","Shared room",1,1,1,1,1,"Real Bed",30,15,1,"t","strict_14_with_grace_period",0,9,0
21378047,"within an hour",1,"f","f",5,"Downtown","Entire home/apt",2,4,1,0,2,"Real Bed",75,45,1,"t","strict_14_with_grace_period",1,28,3
1159226,"within a day",0.75,"t","t",8,"Downtown","Entire home/apt",1,4,1,2,3,"Real Bed",174,75,3,"f","strict_14_with_grace_period",1,40,2
23468669,"within a few hours",1,"f","f",1,"University District","Entire home/apt",2,2,1,1,1,"Real Bed",95,50,3,"t","moderate",1,34,0
13017780,"within a few hours",1,"t","t",2,"Northgate","Entire home/apt",1,4,1,2,2,"Real Bed",165,75,5,"f","strict_14_with_grace_period",1,21,0
29098683,"within a day",1,"f","t",1,"Central Area","Private room",1,1,1,1,1,"Real Bed",30,0,14,"f","flexible",1,17,0
397152,"within a day",1,"f","t",1,"Other neighborhoods","Private room",2,2,1,1,1,"Real Bed",75,0,1,"f","strict_14_with_grace_period",1,25,0
17790593,"within an hour",1,"f","f",3,"Capitol Hill","Entire home/apt",1,2,1,1,1,"Real Bed",110,45,2,"t","moderate",1,26,0
25372987,"within an hour",1,"t","f",1,"Downtown","Entire home/apt",2,3,1,1,1,"Real Bed",178,55,3,"t","moderate",1,24,3
21564045,"within an hour",0.99,"f","f",1276,"Downtown","Entire home/apt",1,6,2,2,3,"Real Bed",999,109,2,"t","strict_14_with_grace_period",0,23,3
30594202,"within an hour",0.99,"f","f",521,"Downtown","Entire home/apt",2,3,1,1,1,"Real Bed",119,89,2,"t","strict",0,21,5
6956938,"within an hour",1,"t","t",2,"West Seattle","Entire home/apt",2,2,1,1,1,"Real Bed",98,60,1,"t","moderate",1,37,0
20309188,"within an hour",1,"t","f",1,"Other neighborhoods","Entire home/apt",3,4,1,1,2,"Real Bed",100,25,2,"t","moderate",1,33,0
30546141,"within an hour",1,"f","f",3,"Rainier Valley","Private room",1,2,1,1,1,"Real Bed",45,20,1,"t","flexible",1,27,0
15500241,"within an hour",1,"t","t",1,"West Seattle","Entire home/apt",2,4,1,1,2,"Real Bed",60,0,1,"f","flexible",1,46,0
21818300,"within an hour",1,"t","t",1,"Central Area","Entire home/apt",2,4,1.5,1,2,"Real Bed",99,40,2,"f","strict_14_with_grace_period",1,32,0
12042411,"within an hour",1,"t","t",1,"Queen Anne","Entire home/apt",4,8,2,4,4,"Real Bed",225,250,2,"t","moderate",1,33,2
132160,"within an hour",1,"t","t",2,"Other neighborhoods","Entire home/apt",2,6,1,2,3,"Real Bed",150,0,3,"f","strict_14_with_grace_period",1,44,0
21080282,"within an hour",1,"t","f",1,"Magnolia","Entire home/apt",1,2,1,0,1,"Real Bed",80,39,1,"t","flexible",1,31,0
23702661,"within an hour",1,"t","f",32,"Central Area","Entire home/apt",8,12,3.5,4,6,"Real Bed",450,150,1,"t","strict_14_with_grace_period",1,29,0
30593853,"within an hour",0.99,"f","f",521,"Downtown","Entire home/apt",2,3,1,1,1,"Real Bed",119,89,2,"t","strict",0,21,5
27483264,"within an hour",1,"t","f",1,"West Seattle","Entire home/apt",6,5,1,2,2,"Real Bed",195,75,1,"f","moderate",1,25,0
16680184,"within an hour",1,"t","t",6,"Capitol Hill","Private room",1,2,1,1,1,"Real Bed",99,0,1,"t","moderate",1,20,0
27971824,"within an hour",1,"f","f",4,"Seward Park","Private room",1,2,1,1,1,"Real Bed",100,0,1,"t","flexible",1,26,0
27114760,"within an hour",1,"f","t",1,"Downtown","Entire home/apt",1,3,1,1,1,"Real Bed",349,39,4,"t","moderate",1,49,5
14049107,"within an hour",1,"t","t",1,"Other neighborhoods","Private room",1,2,1,1,1,"Real Bed",85,30,2,"t","flexible",1,42,0
20266891,"within an hour",0.99,"f","f",152,"Downtown","Entire home/apt",4,4,2,2,3,"Real Bed",499,175,4,"t","strict_14_with_grace_period",0,18,3
12157169,"within an hour",0.99,"f","f",14,"Central Area","Entire home/apt",1,2,1,0,1,"Real Bed",75,75,1,"t","strict_14_with_grace_period",1,35,0
22338467,"within a few hours",1,"t","f",1,"Other neighborhoods","Entire home/apt",2,3,1,1,2,"Real Bed",125,0,2,"f","moderate",1,26,0
30015234,"within an hour",1,"f","t",1,"Queen Anne","Entire home/apt",1,8,3,4,5,"Real Bed",650,250,3,"f","strict_14_with_grace_period",1,20,1
24201272,"within an hour",1,"t","f",1,"Queen Anne","Entire home/apt",1,4,1,1,2,"Real Bed",99,50,3,"t","strict_14_with_grace_period",1,39,0
13012309,"within a few hours",0.67,"t","t",2,"Magnolia","Entire home/apt",3,4,1,0,1,"Real Bed",118,50,2,"f","strict_14_with_grace_period",1,25,0
24398635,"within an hour",1,"t","f",1,"West Seattle","Entire home/apt",1,4,1,1,2,"Real Bed",104,50,2,"t","strict_14_with_grace_period",1,30,0
8257837,"within a few hours",1,"f","f",3,"Capitol Hill","Entire home/apt",2,4,2,3,3,"Real Bed",165,175,14,"f","strict_14_with_grace_period",1,39,0
12249990,"within an hour",1,"t","t",4,"Other neighborhoods","Entire home/apt",1,3,1,0,2,"Real Bed",115,60,2,"t","moderate",1,30,0
