"","X","id","host_is_superhost","host_response_rate","host_response_time","host_listings_count","host_identity_verified","accommodates","property_type","room_type","guests_included","bathrooms","bedrooms","beds","bed_type","cleaning_fee","minimum_nights","maximum_nights","instant_bookable","cancellation_policy","price","In_Downtown","In_Delridge","In_Lake_City","num_amenities","total_nearby_landmarks"
"21",1504,7638078,"t",1,"within an hour",2,"t",4,"House","Entire home/apt",1,1,1,1,"Real Bed",30,2,1125,"f","flexible",125,0,0,0,24,0
"22",999,5213468,"f",0.99,"within an hour",521,"f",3,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",89,2,1125,"t","strict",300,1,0,0,18,5
"23",4498,19786008,"f",0.99,"within an hour",81,"f",6,"Condominium","Entire home/apt",6,1,2,3,"Real Bed",135,1,365,"t","super_strict_30",166,1,0,0,25,5
"24",7748,29280801,"t",1,"within an hour",10,"f",2,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",75,2,1125,"f","strict_14_with_grace_period",80,0,0,0,15,0
"25",136,430609,"t",1,"within an hour",7,"t",8,"House","Entire home/apt",1,2.5,3,4,"Real Bed",99,2,1124,"f","moderate",225,0,0,0,30,0
"26",7049,26811391,"f",1,"within an hour",123,"f",2,"Apartment","Entire home/apt",1,1,0,1,"Real Bed",50,1,21,"t","strict_14_with_grace_period",90,0,0,0,12,1
"27",603,3121829,"t",1,"within a few hours",1,"f",4,"Townhouse","Entire home/apt",1,2.5,2,2,"Real Bed",100,2,1123,"f","strict_14_with_grace_period",100,0,0,0,23,0
"28",635,3312406,"t",1,"within an hour",1,"t",4,"Guest suite","Entire home/apt",4,1,0,0,"Real Bed",65,3,180,"t","moderate",119,0,0,0,30,0
"29",5970,23188721,"f",1,"within an hour",35,"f",6,"Serviced apartment","Entire home/apt",3,1,3,3,"Real Bed",85,2,12,"t","strict_14_with_grace_period",200,0,0,0,29,0
"30",839,4288801,"t",1,"within an hour",2,"t",2,"House","Private room",1,1,1,1,"Real Bed",20,2,1125,"f","moderate",55,0,0,0,17,0
"31",7870,29777784,"f",1,"within an hour",1,"t",12,"House","Entire home/apt",8,2.5,4,4,"Real Bed",150,2,1125,"t","moderate",175,0,0,0,46,0
"32",5126,21332206,"f",0.98,"within an hour",20,"f",6,"House","Entire home/apt",1,2.5,3,3,"Real Bed",186,2,28,"t","strict_14_with_grace_period",341,0,0,0,31,0
"33",7479,28368849,"t",1,"within an hour",2,"f",10,"House","Entire home/apt",8,2,5,5,"Real Bed",149,1,1125,"f","flexible",199,0,1,0,31,0
"34",4445,19657648,"t",1,"within a few hours",1,"t",2,"Guesthouse","Entire home/apt",2,1,1,1,"Real Bed",25,1,14,"f","moderate",91,0,0,0,25,0
"35",4892,20805317,"f",1,"within an hour",2,"f",2,"Townhouse","Private room",2,1.5,1,1,"Real Bed",25,2,1125,"f","moderate",60,0,0,0,19,0
"36",4073,18450572,"f",1,"within an hour",2,"t",2,"Other","Private room",1,1,1,1,"Real Bed",20,2,30,"t","moderate",50,0,0,0,23,0
"37",4443,19656364,"f",1,"within an hour",2,"t",2,"Townhouse","Private room",1,1,1,1,"Real Bed",100,1,1125,"t","flexible",54,0,0,0,24,0
"38",4640,20139362,"f",0.86,"within an hour",9,"t",2,"Apartment","Entire home/apt",1,1,1,1,"Real Bed",45,1,29,"t","flexible",130,0,0,0,16,0
"39",1601,7952930,"f",1,"within a few hours",1,"f",4,"House","Entire home/apt",1,1,2,2,"Real Bed",20,2,15,"t","flexible",80,0,0,0,24,0
"40",2690,13334770,"t",1,"within an hour",3,"t",4,"House","Entire home/apt",1,1,1,2,"Real Bed",65,1,1125,"f","moderate",109,0,0,0,21,0
"41",6060,23593403,"t",1,"within an hour",2,"f",2,"House","Private room",1,1,1,1,"Real Bed",0,2,1125,"t","flexible",45,0,0,0,15,0
"42",6182,23906857,"f",1,"within an hour",2,"t",5,"House","Private room",2,1.5,1,3,"Real Bed",15,1,93,"t","moderate",50,0,0,1,19,0
"43",1407,7257457,"t",1,"within an hour",1,"t",4,"Guest suite","Entire home/apt",4,1,2,2,"Real Bed",110,2,90,"f","strict_14_with_grace_period",195,0,0,0,26,0
"44",7867,29776305,"f",1,"within an hour",123,"f",1,"House","Shared room",1,1,1,1,"Real Bed",15,1,21,"t","strict_14_with_grace_period",25,0,0,0,9,0
"45",5931,23042701,"t",1,"within an hour",3,"t",2,"House","Private room",1,1,1,1,"Real Bed",20,1,1125,"f","strict_14_with_grace_period",50,0,0,0,38,0
"46",5753,22530470,"t",1,"within an hour",1,"f",2,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",25,2,14,"t","moderate",65,0,0,0,40,0
"47",3129,14731309,"f",1,"within an hour",1,"t",4,"Apartment","Entire home/apt",1,1,1,2,"Real Bed",50,2,1125,"f","moderate",120,0,0,0,24,0
"48",1853,9167786,"t",1,"within an hour",3,"t",2,"House","Private room",1,1,1,1,"Real Bed",0,1,1125,"f","moderate",59,0,0,0,16,0
"49",1584,7901331,"t",1,"within an hour",3,"t",5,"House","Entire home/apt",1,1,2,3,"Real Bed",75,10,28,"f","moderate",189,0,0,0,54,0
"50",7712,29221322,"t",1,"within an hour",17,"f",6,"Condominium","Entire home/apt",1,1,2,3,"Real Bed",125,1,1125,"t","strict_14_with_grace_period",500,1,0,0,42,5
"51",6369,24473699,"t",1,"within an hour",1,"t",4,"Guest suite","Entire home/apt",2,1,1,2,"Real Bed",50,2,1125,"f","flexible",105,0,0,0,37,0
"52",3180,14917821,"t",1,"within an hour",4,"t",4,"House","Entire home/apt",1,1,1,2,"Real Bed",70,30,1125,"t","moderate",145,0,0,0,31,0
"53",6803,25896487,"t",1,"within an hour",2,"f",8,"Townhouse","Entire home/apt",6,3.5,3,3,"Real Bed",160,2,31,"f","strict_14_with_grace_period",180,0,0,0,39,0
"54",861,4430381,"t",1,"within an hour",3,"t",4,"Apartment","Entire home/apt",1,1,2,2,"Real Bed",65,3,30,"t","strict_14_with_grace_period",175,0,0,0,27,0
"55",7932,30018930,"f",0.99,"within an hour",152,"f",5,"Apartment","Entire home/apt",1,2,2,3,"Real Bed",150,2,1125,"f","strict_14_with_grace_period",250,1,0,0,18,3
"56",6863,26087976,"f",1,"within an hour",6,"t",7,"Other","Entire home/apt",1,2,3,5,"Real Bed",100,4,1125,"f","flexible",50,0,0,0,21,0
"57",4364,19412171,"t",1,"within an hour",2,"t",1,"House","Private room",1,1,1,1,"Real Bed",0,1,100,"f","strict_14_with_grace_period",78,0,0,0,14,0
"58",437,1901706,"t",0.75,"within a day",8,"t",2,"Apartment","Private room",1,1,0,1,"Real Bed",75,30,365,"f","strict_14_with_grace_period",155,1,0,0,43,2
"59",1018,5340242,"f",0.92,"within an hour",51,"t",4,"Apartment","Entire home/apt",1,1,1,2,"Real Bed",65,1,1125,"f","moderate",89,0,0,0,39,0
"60",5905,22965744,"t",1,"within an hour",1,"f",2,"House","Private room",1,1,1,1,"Real Bed",5,2,1125,"t","flexible",75,0,0,0,27,0
"61",754,3870937,"t",0.8,"within a few hours",1,"t",4,"House","Entire home/apt",4,1,1,2,"Real Bed",60,2,1125,"f","strict_14_with_grace_period",125,0,0,1,34,0
"62",6737,25669000,"f",1,"within an hour",35,"f",2,"Apartment","Entire home/apt",1,1,0,1,"Real Bed",50,2,12,"t","strict_14_with_grace_period",300,1,0,0,20,3
"63",6851,26065165,"f",1,"within an hour",1,"t",6,"House","Entire home/apt",4,2,3,3,"Real Bed",45,2,28,"f","strict_14_with_grace_period",325,0,0,0,37,0
"64",3919,17992342,"t",1,"within an hour",4,"f",2,"Apartment","Entire home/apt",1,1,1,1,"Real Bed",65,2,1125,"t","moderate",130,0,0,0,23,0
"65",4308,19180196,"f",0.94,"within an hour",6,"t",7,"House","Entire home/apt",5,2.5,4,4,"Real Bed",175,2,150,"f","strict_14_with_grace_period",200,0,0,0,40,0
"66",5096,21263484,"f",0.99,"within an hour",152,"f",5,"Apartment","Entire home/apt",1,2,2,3,"Real Bed",150,4,1125,"f","strict_14_with_grace_period",250,1,0,0,18,3
"67",5010,21029544,"t",1,"within a few hours",1,"f",7,"House","Entire home/apt",7,2,4,4,"Real Bed",125,2,1125,"f","moderate",200,0,0,0,33,0
"68",170,598023,"f",1,"within an hour",1,"t",1,"House","Private room",1,1,1,1,"Real Bed",30,3,30,"f","strict_14_with_grace_period",79,0,0,0,22,0
"69",1842,9137398,"t",1,"within an hour",8,"f",2,"House","Private room",1,1,1,1,"Real Bed",30,1,1125,"t","moderate",95,0,0,0,13,0
"70",1982,9846452,"t",1,"within an hour",4,"t",2,"House","Private room",1,1,1,1,"Real Bed",0,1,1125,"f","moderate",50,0,0,0,12,0
"71",2388,12254134,"t",1,"within an hour",5,"t",4,"House","Entire home/apt",5,1,2,2,"Real Bed",85,7,90,"f","moderate",175,0,0,0,22,0
"72",3317,15521293,"f",0.94,"within an hour",6,"t",4,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",35,1,1125,"f","strict_14_with_grace_period",110,0,0,0,27,3
"73",3507,16288535,"t",1,"within an hour",1,"f",4,"Apartment","Entire home/apt",1,1,2,2,"Real Bed",70,2,30,"t","moderate",131,0,0,0,26,0
"74",6,9531,"f",1,"within an hour",2,"t",4,"House","Entire home/apt",2,1,2,5,"Real Bed",95,2,365,"f","strict_14_with_grace_period",165,0,0,0,29,0
"75",1521,7692281,"f",1,"within a day",2,"t",2,"Condominium","Entire home/apt",1,1,1,1,"Real Bed",75,1,1125,"f","moderate",60,0,0,0,36,0
"76",1821,9034515,"t",1,"within an hour",1,"t",2,"Guesthouse","Entire home/apt",1,1,0,1,"Real Bed",50,2,1125,"f","strict_14_with_grace_period",100,0,0,0,45,0
"77",7528,28499220,"t",1,"within an hour",3,"f",3,"Townhouse","Private room",2,1.5,1,1,"Real Bed",25,1,30,"f","flexible",95,0,0,0,24,0
"78",2053,10295151,"t",0.89,"within a few hours",1,"f",4,"Apartment","Entire home/apt",1,1,1,2,"Real Bed",95,1,1125,"f","strict_14_with_grace_period",99,0,0,0,27,0
"79",8116,30777977,"f",1,"within an hour",50,"f",8,"House","Entire home/apt",8,2,3,4,"Real Bed",323,2,1125,"t","super_strict_30",223,0,0,0,21,0
"80",1420,7324041,"t",1,"within an hour",2,"t",4,"House","Entire home/apt",2,1,0,1,"Real Bed",48,1,15,"t","moderate",79,0,1,0,31,0
"81",5134,21366399,"f",1,"within an hour",7,"f",7,"House","Entire home/apt",6,1,3,4,"Real Bed",125,2,28,"t","moderate",79,0,0,0,35,0
"82",5984,23272717,"t",1,"within an hour",1,"t",2,"Apartment","Private room",2,1,1,1,"Real Bed",30,1,5,"t","moderate",80,0,0,0,20,3
"83",8421,32050468,"f",1,"within an hour",1,"f",4,"Guest suite","Entire home/apt",1,1,0,1,"Real Bed",45,1,1125,"t","moderate",128,0,0,0,39,0
"84",6088,23676152,"t",1,"within an hour",5,"f",8,"House","Entire home/apt",4,2,3,5,"Real Bed",100,2,90,"f","moderate",129,0,0,0,42,0
"85",6514,24875091,"f",0.99,"within an hour",7,"f",5,"Apartment","Entire home/apt",1,1,1,3,"Real Bed",0,1,366,"t","strict_14_with_grace_period",98,0,0,0,28,0
"86",2188,11194237,"f",1,"within an hour",123,"f",2,"House","Private room",1,2,1,1,"Real Bed",25,1,21,"t","strict_14_with_grace_period",70,0,0,0,18,3
"87",6035,23483176,"f",1,"within an hour",2,"f",2,"Other","Entire home/apt",2,1,1,1,"Real Bed",59,3,1125,"f","moderate",100,0,0,0,29,0
"88",7760,29338990,"f",1,"within an hour",50,"f",4,"House","Entire home/apt",4,1.5,2,2,"Real Bed",204,2,1125,"t","super_strict_30",168,0,0,0,21,0
"89",5218,21512210,"t",1,"within an hour",1,"t",2,"Townhouse","Private room",1,1,1,1,"Real Bed",25,1,30,"t","moderate",47,0,0,0,26,0
"90",2341,12028522,"f",1,"within a few hours",2,"t",4,"Guest suite","Entire home/apt",4,1,1,2,"Real Bed",60,1,1125,"f","strict_14_with_grace_period",180,0,0,0,39,0
"91",2202,11257096,"f",1,"within an hour",2,"t",6,"House","Entire home/apt",4,1,2,2,"Real Bed",75,1,14,"f","moderate",125,0,0,0,35,0
"92",5815,22755162,"t",1,"within an hour",131,"f",2,"Serviced apartment","Entire home/apt",1,1,1,1,"Real Bed",75,2,1125,"t","flexible",100,0,0,0,43,2
"93",5932,23045461,"t",1,"within an hour",2,"t",2,"Townhouse","Private room",1,1,1,1,"Real Bed",35,1,7,"t","moderate",45,0,0,0,17,0
"94",8388,31988606,"t",1,"within an hour",1,"f",6,"House","Entire home/apt",6,2,2,2,"Real Bed",130,2,30,"t","strict_14_with_grace_period",230,0,0,0,35,0
"95",4555,19894117,"f",1,"within a few hours",3,"f",14,"House","Entire home/apt",14,3,6,8,"Real Bed",350,1,1125,"t","strict_14_with_grace_period",300,0,0,0,49,0
"96",590,3022564,"t",1,"within an hour",1,"f",2,"Guesthouse","Entire home/apt",1,1,0,1,"Real Bed",35,1,1125,"t","moderate",89,0,0,0,24,0
"97",2842,13734942,"f",1,"within a few hours",2,"t",3,"House","Entire home/apt",1,1,1,1,"Real Bed",40,2,30,"f","moderate",140,0,0,0,23,0
"98",689,3561237,"f",1,"within an hour",3,"t",16,"House","Entire home/apt",5,4,4,9,"Real Bed",225,1,21,"f","strict_14_with_grace_period",304,0,0,0,67,0
"99",6676,25394602,"t",1,"within an hour",1,"t",2,"Guesthouse","Entire home/apt",1,1,0,1,"Real Bed",40,2,14,"t","flexible",145,0,0,0,24,0
"100",444,1935439,"f",1,"within a day",2,"f",2,"House","Private room",1,2,1,1,"Futon",30,2,1125,"f","strict_14_with_grace_period",49,0,0,0,25,0
"101",2187,11193878,"f",1,"within an hour",123,"f",2,"House","Private room",1,2,1,1,"Real Bed",25,1,21,"t","strict_14_with_grace_period",70,0,0,0,17,3
"102",7847,29688866,"t",1,"within an hour",2,"t",4,"Apartment","Entire home/apt",4,2,2,2,"Real Bed",97,2,15,"f","strict_14_with_grace_period",265,1,0,0,41,3
"103",156,522270,"f",1,"within an hour",11,"f",2,"Other","Entire home/apt",2,1,1,1,"Real Bed",40,3,1125,"t","strict_14_with_grace_period",130,0,0,0,25,1
"104",2665,13274863,"t",1,"within an hour",3,"f",7,"Townhouse","Entire home/apt",4,2.5,3,4,"Real Bed",140,3,1125,"t","strict_14_with_grace_period",180,0,0,0,22,0
"105",785,3992155,"f",1,"within an hour",1,"f",2,"Condominium","Entire home/apt",1,1,0,1,"Pull-out Sofa",80,2,1125,"f","strict_14_with_grace_period",125,1,0,0,33,5
"106",7337,27849459,"f",1,"within an hour",5,"t",2,"House","Private room",2,1.5,1,1,"Real Bed",40,1,1125,"t","strict_14_with_grace_period",65,0,0,0,27,0
"107",7128,27184023,"f",0.99,"within an hour",209,"f",2,"Apartment","Entire home/apt",1,1,1,1,"Real Bed",93,2,28,"t","strict_14_with_grace_period",141,0,0,0,25,0
"108",4937,20914463,"t",1,"within an hour",42,"t",6,"Condominium","Entire home/apt",1,2,2,3,"Real Bed",130,3,30,"t","strict_14_with_grace_period",195,1,0,0,32,3
"109",4741,20405820,"f",1,"within an hour",3,"f",2,"Guest suite","Entire home/apt",2,1,0,1,"Real Bed",40,1,1125,"t","moderate",160,0,0,0,30,0
"110",665,3441487,"f",1,"within an hour",3,"t",4,"Condominium","Entire home/apt",2,1,1,1,"Real Bed",100,2,1125,"f","strict_14_with_grace_period",180,1,0,0,30,1
"111",3746,17345183,"t",1,"within an hour",131,"f",3,"Serviced apartment","Entire home/apt",1,1,1,1,"Real Bed",75,2,1125,"t","moderate",99,0,0,0,34,4
"112",2286,11679184,"f",1,"within an hour",1,"t",4,"House","Entire home/apt",2,1,1,2,"Real Bed",40,2,120,"t","moderate",90,0,0,0,33,0
"113",2759,13546442,"f",1,"within a few hours",2,"t",2,"House","Private room",1,1,1,1,"Real Bed",40,1,14,"f","flexible",60,0,1,0,35,0
"114",1068,5670781,"t",1,"within an hour",1,"t",6,"House","Entire home/apt",6,2,3,3,"Real Bed",110,2,1125,"f","strict_14_with_grace_period",170,0,0,0,44,0
"115",6871,26110804,"t",1,"within an hour",1,"f",2,"Guesthouse","Entire home/apt",2,1,0,1,"Real Bed",45,4,30,"t","moderate",150,0,0,0,28,0
"116",7412,28161008,"f",1,"within an hour",1,"f",2,"Apartment","Entire home/apt",1,1,1,1,"Real Bed",65,2,30,"t","flexible",80,0,0,0,15,0
"117",2974,14084566,"t",1,"within an hour",2,"t",2,"House","Private room",1,1,1,1,"Real Bed",0,1,30,"f","flexible",100,0,0,0,9,0
"118",2778,13580802,"t",1,"within an hour",7,"t",2,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",50,1,1125,"t","moderate",100,0,0,0,18,3
"119",1497,7619727,"f",1,"within a day",1,"t",6,"House","Entire home/apt",5,1,3,4,"Real Bed",25,2,1125,"f","moderate",200,0,0,0,29,0
"120",5872,22869681,"t",1,"within an hour",131,"f",2,"Serviced apartment","Entire home/apt",1,1,1,1,"Real Bed",75,2,1125,"t","flexible",100,0,0,0,43,2
"121",4734,20390337,"f",1,"within an hour",106,"f",4,"House","Entire home/apt",4,2,2,3,"Real Bed",76,2,1125,"t","super_strict_30",92,0,0,0,20,0
"122",7324,27806095,"t",1,"within an hour",1,"f",6,"House","Entire home/apt",3,1,3,3,"Real Bed",50,1,30,"t","flexible",99,0,0,0,23,0
"123",7684,29130515,"f",1,"within an hour",1,"f",2,"Condominium","Private room",2,1,1,1,"Real Bed",25,1,60,"t","flexible",90,0,0,0,23,0
"124",1368,7095802,"f",1,"within an hour",3,"f",2,"House","Private room",1,1,1,1,"Real Bed",25,1,1125,"t","moderate",50,0,0,0,19,0
"125",7384,28028532,"f",1,"within an hour",1,"t",2,"Apartment","Entire home/apt",1,1,0,1,"Real Bed",20,3,5,"f","moderate",99,1,0,0,18,5
"126",2186,11193034,"f",0.99,"within an hour",521,"f",3,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",89,2,1125,"t","strict",229,1,0,0,18,5
"127",6917,26258898,"f",1,"within an hour",1,"f",6,"House","Entire home/apt",6,2,4,4,"Real Bed",220,4,1095,"f","strict_14_with_grace_period",320,0,0,0,52,0
"128",5525,22206333,"f",0.99,"within an hour",521,"f",3,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",89,2,1125,"f","strict",229,1,0,0,17,6
"129",586,2998728,"t",1,"within an hour",2,"t",8,"House","Entire home/apt",1,2,4,4,"Real Bed",150,3,1125,"t","moderate",300,0,0,0,43,1
"130",6292,24164483,"t",1,"within an hour",4,"f",12,"House","Entire home/apt",1,3,6,6,"Real Bed",200,1,1124,"t","strict_14_with_grace_period",320,0,0,0,41,0
"131",8306,31647443,"f",1,"within an hour",6,"f",2,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",50,1,1125,"t","moderate",150,1,0,0,18,3
"132",7165,27269243,"f",0.9,"within an hour",5,"f",2,"House","Private room",1,1,1,1,"Real Bed",0,2,1125,"t","flexible",105,0,0,0,47,0
"133",6909,26235757,"t",1,"within an hour",2,"f",4,"Apartment","Entire home/apt",1,1,1,2,"Real Bed",165,2,1125,"t","flexible",125,0,0,0,34,0
"134",830,4236723,"t",1,"within an hour",8,"t",6,"House","Entire home/apt",4,1.5,2,3,"Real Bed",35,1,1125,"t","strict_14_with_grace_period",171,0,0,0,30,0
"135",1602,7953211,"t",1,"within a few hours",3,"t",6,"House","Entire home/apt",2,1,3,4,"Real Bed",260,7,1125,"f","strict_14_with_grace_period",137,0,0,0,29,0
"136",1011,5304739,"t",1,"within an hour",1,"f",6,"Guest suite","Entire home/apt",1,1,2,4,"Real Bed",65,1,28,"t","strict_14_with_grace_period",81,0,0,0,38,0
"137",5920,23009897,"f",1,"within an hour",50,"f",4,"House","Entire home/apt",4,2,2,3,"Real Bed",238,2,1125,"t","super_strict_30",119,0,0,0,17,0
"138",2161,11126156,"f",0.99,"within an hour",152,"f",4,"Apartment","Entire home/apt",2,1,2,2,"Real Bed",75,5,1125,"f","strict_14_with_grace_period",128,1,0,0,14,5
"139",6024,23436344,"t",1,"within an hour",1,"t",6,"House","Entire home/apt",2,2,3,4,"Real Bed",100,2,31,"t","strict_14_with_grace_period",180,0,0,0,21,0
"140",4952,20948220,"t",1,"within an hour",3,"t",2,"Apartment","Entire home/apt",1,1,1,1,"Real Bed",40,2,31,"f","moderate",90,0,0,0,46,0
"141",2282,11674535,"t",0.9,"within an hour",3,"f",4,"Apartment","Entire home/apt",1,1,1,2,"Real Bed",60,2,1125,"t","strict_14_with_grace_period",135,0,0,0,45,0
"142",6690,25450282,"t",1,"within an hour",4,"t",6,"Townhouse","Entire home/apt",1,2.5,3,3,"Real Bed",295,3,1124,"t","strict_14_with_grace_period",468,0,0,0,19,0
"143",6482,24761353,"t",1,"within an hour",131,"f",2,"Serviced apartment","Entire home/apt",1,1,1,1,"Real Bed",75,2,1125,"t","flexible",450,0,0,0,35,2
"144",7265,27584271,"t",1,"within an hour",2,"f",4,"House","Private room",1,1,1,3,"Real Bed",29,1,7,"t","flexible",69,0,0,1,20,0
"145",6765,25781596,"f",1,"within an hour",1,"f",4,"House","Entire home/apt",1,1,2,2,"Real Bed",50,2,1125,"t","moderate",116,0,0,0,26,0
"146",6382,24524465,"f",1,"within a few hours",2,"t",4,"House","Entire home/apt",1,1,2,2,"Real Bed",120,2,1125,"f","moderate",189,0,0,0,31,0
"147",3816,17625433,"f",1,"within an hour",1,"t",6,"Townhouse","Entire home/apt",6,2,3,3,"Real Bed",138,2,29,"f","strict_14_with_grace_period",249,0,0,0,24,0
"148",3086,14524187,"f",1,"within an hour",1,"f",2,"Guest suite","Entire home/apt",1,1,1,1,"Real Bed",0,2,15,"f","flexible",175,0,0,0,16,1
"149",2823,13674411,"f",1,"within a few hours",57,"t",1,"House","Shared room",1,3.5,1,1,"Real Bed",75,4,90,"f","strict_14_with_grace_period",45,0,0,0,23,0
"150",1528,7713043,"t",1,"within an hour",1,"t",2,"Other","Entire home/apt",2,0,0,2,"Real Bed",20,1,1125,"f","strict_14_with_grace_period",75,0,0,0,24,0
"151",926,4730377,"f",0.92,"within an hour",2,"t",2,"Townhouse","Private room",1,1.5,1,1,"Airbed",25,1,1125,"f","moderate",150,0,0,0,52,0
"152",7149,27252971,"t",1,"within an hour",36,"t",6,"Serviced apartment","Entire home/apt",1,1.5,2,4,"Real Bed",100,1,30,"t","strict_14_with_grace_period",350,1,0,0,21,4
"153",4970,20985659,"f",1,"within an hour",1,"f",2,"Townhouse","Private room",1,1,1,1,"Real Bed",20,1,7,"t","flexible",40,0,0,0,14,0
"154",423,1807936,"f",1,"within a day",1,"t",4,"House","Entire home/apt",1,1.5,2,2,"Real Bed",20,1,1125,"f","moderate",100,0,0,0,22,0
"155",895,4593740,"f",0.92,"within an hour",4,"t",4,"Apartment","Entire home/apt",3,1,1,2,"Real Bed",65,2,1125,"t","strict_14_with_grace_period",99,1,0,0,48,5
"156",7439,28275205,"f",1,"within an hour",1,"f",2,"Apartment","Entire home/apt",1,1,1,1,"Real Bed",25,2,14,"t","flexible",73,0,0,0,13,0
"157",4623,20070863,"f",1,"within an hour",1,"f",4,"Guest suite","Private room",1,1,2,3,"Real Bed",50,2,20,"f","moderate",180,0,1,0,31,0
"158",1223,6506390,"f",1,"within an hour",2,"t",6,"House","Entire home/apt",1,1.5,3,4,"Real Bed",0,3,60,"t","strict_14_with_grace_period",225,0,0,0,20,0
"159",3063,14416593,"f",1,"within an hour",1,"t",5,"House","Entire home/apt",6,1.5,3,3,"Real Bed",200,4,7,"t","strict_14_with_grace_period",210,0,0,0,40,0
"160",7376,27988579,"f",1,"within a few hours",1,"t",4,"House","Private room",2,1,2,2,"Real Bed",30,1,45,"f","flexible",250,0,0,1,42,0
"161",2087,10569919,"t",1,"within a few hours",11,"f",8,"Serviced apartment","Entire home/apt",4,2,2,5,"Real Bed",115,2,1125,"f","strict_14_with_grace_period",299,1,0,0,64,4
"162",1162,6245498,"t",1,"within an hour",1,"t",4,"Other","Entire home/apt",4,1,2,2,"Real Bed",50,2,30,"t","moderate",110,0,0,0,25,0
